Id,Name,Date,Rating,Popularity,Length,Tags
0,Fate/stay night,2004-01-30,8.61,100.00,Very long,"['Mage Protagonist', 'Major Antagonist', 'Magic', 'Combat Capable Friends', 'Hint Corner', 'High Amount of Bad Endings', 'Branching Plot', 'Game Over', 'Sacred Treasure', 'Ending List', 'Character Profiles', 'Male Protagonist', 'Bad Endings with Story', 'Fighting Protagonist', 'NVL', 'Bad Ending(s)', 'Duel', 'Skip Scenes', 'Urban Fantasy', 'Enforced Playing Order', 'Summoning', 'Superpowers', 'Lots of Choices', 'Built-in Encyclopedia', 'Under the Same Roof', 'Mage Heroine', 'Multiple Endings', 'Sword Combat', 'Sword Wielding Heroine', 'Unlockable Gallery']"
1,Saya no Uta,2003-12-26,8.02,89.06,Short,"['Protagonist with Psychological Problems', 'Psychological Horror', 'NVL', 'Horror', 'Gore', 'Protagonist with Voice Acting', 'Few Choices', 'Bad Endings with Story', 'Protagonist with a Face', 'Male Protagonist', 'Descriptions of Violence', 'Psychological Problems', 'Loli Heroine', 'Modern Day Japan', 'Other Perspectives', 'Bloody Scenes', 'Graphic Violence', 'Save Memo Function', 'Third-person Narrative', 'No Opening Movie', 'Varying Ending Songs', 'Unique Routes', 'Depression', 'Student Protagonist', 'Music Recollection', 'Pretending Protagonist', 'Thriller', 'Multiple Endings', 'Gore Filter', 'In Medias Res']"
2,STEINS;GATE,2009-10-15,9.01,85.73,Long,"['Flat Tints Only', 'Chuunibyou Protagonist', 'One True End', 'Suspense', 'Male Protagonist', 'No Sexual Content', 'Modern Day Akihabara', 'Group of Friends', 'Protagonist with Voice Acting', 'Thriller', 'Built-in Encyclopedia', 'Science Fiction', 'Scientist Heroine', 'Genius Heroine', 'Heisei Era', 'Inventor Heroine', 'Date Display', 'Airhead Heroine', 'Tsundere Heroine', 'ADV', 'Lip Sync', 'Proactive Protagonist', 'Protagonist with a Face', ""Protagonist's Childhood Friend as a Heroine"", 'Multiple Endings', 'Ladder Structure', 'Ending List', 'Multiple Songs', 'Episodic Story', 'Achievements']"
3,G-senjou no Maou,2008-05-29,8.32,81.03,Long,"['One True End', 'Protagonist with Multiple Personalities', 'Battle of Wits', 'Ladder Structure', 'Yakuza', 'Intrigue', 'Pragmatic Protagonist', 'Mystery', 'ADV', 'Detective Work', 'Episodic Story', 'Male Protagonist', 'Crime', 'Desperation', 'Central Heroine', 'Genius Heroine', 'High School Student Heroine', 'Major Antagonist', 'Save Memo Function', 'Suspense', 'Brief NVL Scenes', 'Colored Texts', 'Read Text Marking', 'Multiple Endings', 'Varied Title Screens', 'Varying Ending Songs', 'Multiple Songs', 'Side Portraits', 'Unique Routes', 'Bad Endings with Story']"
4,Grisaia no Kajitsu -LE FRUIT DE LA GRISAIA-,2011-02-25,8.39,80.92,Very long,"['Adult Heroine', 'High School Student Heroine', 'Long Common Route', 'Pragmatic Protagonist', 'Boarding School', 'Ladder Structure', 'High School', 'Varying Ending Songs', 'ADV', 'Multiple Endings', 'Under the Same Roof', 'School Dormitory', 'Male Protagonist', 'Slice of Life', 'Romance', 'Comedy', 'Few Choices', 'Proactive Protagonist', 'Student Heroine', 'Normal Scene Recollection', 'Only Virgin Heroines', 'Skip Scenes', 'Student Protagonist', 'Brief NVL Scenes', 'Protagonist with a Face', 'Music Recollection', 'More Than Seven Endings', 'Multiple Credit Rolls', 'Other Perspectives', ""Super Deformed CG's""]"
5,Katawa Shoujo,2009-04-29,7.84,76.94,Long,"['Adolescent Romance', 'Athlete Heroine', 'Disabled Heroine', 'Romance', 'Slice of Life', 'Male Protagonist', 'Sickly Protagonist', 'Blind Heroine', 'Timid Heroine', 'High School', 'Shy Heroine', 'Student Protagonist', 'ADV', 'Transfer Student Protagonist', 'Painter Heroine', 'Mute Heroine', 'Photographic Backgrounds', 'Multiple Endings', 'Multiple Opening Movies', 'Varied Title Screens', 'Colored Name-tags', 'Early Branching Plot', 'More Than Seven Endings', 'Protagonist with a Face', 'Playtime Counter', 'Brief NVL Scenes', 'Chosen Choices Marking', 'Episodic Story', 'Nakige', 'Blind Choices']"
6,Muv-Luv Alternative,2006-02-24,9.03,69.28,Very long,"['Fighting Protagonist', 'Life and Death Drama', 'War', 'Mecha Pilot Heroine', 'Military', 'Infodumping', 'Colored Texts', 'Mecha', 'Colored Name-tags', 'Science Fiction', 'Linear Plot', 'Mecha Combat', 'Flashback', 'Mecha Pilot Protagonist', 'Military Base', 'Lip Sync', 'Action', 'Male Protagonist', 'Terrorized by Monsters', 'Soldier Protagonist', 'High Amount of Special Effects', 'Date Display', 'Protagonist with Partial Voice Acting', 'ADV', 'Brief Branches Only', 'Multiple Songs', 'Few Choices', 'Protagonist with a Face', 'Episodic Story', 'Achievements']"
7,CLANNAD,2004-04-28,8.65,64.25,Very long,"['High School Student Protagonist', 'Middle School Student Heroine', 'Unlockable Choices', 'Unlockable Epilogue', 'Unlockable Event', 'Unlockable Gallery', 'Varied Title Screens', 'Nakige', 'Family', 'Romance', 'Multiple Endings', 'Pure Love Story', 'Drama', 'Slice of Life', 'ADV', 'Foolish Friend', 'Friendship Ending', 'High School', 'More Than Seven Endings', 'Date Display', 'No Sexual Content', 'School Life Comedy', 'Male Protagonist', 'Lots of Choices', 'Friendship Route', 'Comedy', 'Student Heroine', 'Early Branching Plot', 'Father Support Character', 'Friendship']"
8,Umineko no Naku Koro ni,2007-08-17,8.81,63.87,Very long,"['Battle of Wits', 'Cousin Support Character', 'Fantasy', 'Hotblooded Protagonist', 'Lip Sync', 'Major Antagonist', 'Murder Mystery', 'Single Ending', 'Kinetic Novel', 'NVL', 'Western-style Mansion', 'No Sexual Content', 'Ambient Sounds', 'Island', 'Family', 'ADV', 'Detective Work', 'Protagonist with a Face', 'Proactive Protagonist', 'Philosophy', 'Character Profiles', 'Linear Plot', 'Desperation', 'Episodic Story', 'Protagonist with Voice Acting', 'Descriptions of Violence', 'Thriller', 'Photographic Backgrounds', 'Varied Title Screens', 'Protagonist with a Sprite']"
9,Maji de Watashi ni Koishinasai!,2009-08-28,8.35,60.89,Very long,"['Martial Artist Heroine', 'Tactician Protagonist', 'Unlockable Event', 'Unlockable Routes', 'Fighting Heroine', 'School Life Comedy', 'Group of Friends', 'Friendship', 'More Than Seven Endings', 'High School', 'Student Protagonist', 'Unlockable Side Stories', 'Friendship Route', 'Only Virgin Heroines', 'Male Protagonist', 'Slice of Life Comedy', ""Protagonist's Childhood Friend as a Heroine"", 'Panic Button', 'Proactive Protagonist', 'Student Heroine', 'Colored Texts', 'Family', 'High Amount of Special Effects', 'Unlockable Epilogue', 'Friendship Ending', 'Protagonist with a Face', 'Unlockable Hero(ine)', 'Other Perspectives', 'Multiple Endings', 'Meaningless Choices']"
10,Dangan Ronpa Kibou no Gakuen to Zetsubou no Koukousei,2010-11-25,7.74,60.19,Long,"['Confinement', 'Desperation', 'Detective Work', 'Fear of Death', 'Flashback', 'Major Antagonist', 'Unlockable Concept Art', 'Courtroom', 'Murder Mystery', 'Life and Death Drama', 'High School', 'Battle of Wits', 'Male Protagonist', 'Under the Same Roof', 'High School Student Protagonist', 'ADV', 'Linear Plot', 'Difficulty Settings', 'Interactive Adventure Game', 'Protagonist with Partial Voice Acting', 'Protagonist with a Face', 'No Sexual Content', 'Music Recollection', 'Battle Royale', 'Mid-game Videos', 'Choices with 4 or More Options', 'Fast Mini-games', 'Unlockable Bonus Content', 'Protagonist with a Sprite', 'Character Profiles']"
